Life Tables of the resident population - Geographical Area: Italy - Females - Year: 2021
Age,Survivors,Deaths,Probability of death (per thousand),Years lived,Projection probability,Life expectancy,Notes
0,100000,233,2.32782,99781,0.9997828,84.691,s
1,99767,16,0.15918,99759,0.9998614,83.887,s
2,99751,12,0.11800,99745,0.9998963,82.901,s
3,99740,9,0.08942,99735,0.9999198,81.910,s
4,99731,7,0.07089,99727,0.9999333,80.918,s
5,99724,6,0.06258,99720,0.9999388,79.923,s
6,99717,6,0.05990,99714,0.9999412,78.928,s
7,99711,6,0.05780,99708,0.9999399,77.933,s
8,99706,6,0.06246,99702,0.9999368,76.937,s
9,99699,6,0.06401,99696,0.9999337,75.942,s
10,99693,7,0.06860,99690,0.9999310,74.947,s
11,99686,7,0.06931,99683,0.9999304,73.952,s
12,99679,7,0.06980,99676,0.9999279,72.957,s
13,99672,7,0.07450,99669,0.9999197,71.962,s
14,99665,9,0.08616,99661,0.9999087,70.968,s
15,99656,10,0.09652,99651,0.9998946,69.974,s
16,99647,11,0.11421,99641,0.9998801,68.980,s
17,99635,13,0.12559,99629,0.9998703,67.988,s
18,99623,13,0.13383,99616,0.9998626,66.997,s
19,99609,14,0.14096,99602,0.9998606,66.006,s
20,99595,14,0.13794,99589,0.9998664,65.015,s
21,99582,13,0.12921,99575,0.9998674,64.024,s
22,99569,14,0.13608,99562,0.9998637,63.032,s
23,99555,14,0.13653,99548,0.9998536,62.040,s
24,99542,16,0.15632,99534,0.9998397,61.049,s
25,99526,16,0.16433,99518,0.9998295,60.058,s
26,99510,18,0.17676,99501,0.9998197,59.068,s
27,99492,18,0.18387,99483,0.9998076,58.078,s
28,99474,20,0.20094,99464,0.9997980,57.089,s
29,99454,20,0.20315,99444,0.9997909,56.100,s
30,99434,21,0.21512,99423,0.9997767,55.112,s
31,99412,23,0.23155,99401,0.9997578,54.123,s
32,99389,25,0.25278,99377,0.9997345,53.136,s
33,99364,28,0.27821,99350,0.9997080,52.149,s
34,99336,30,0.30571,99321,0.9996802,51.164,s
35,99306,33,0.33386,99290,0.9996482,50.179,s
36,99273,37,0.36982,99255,0.9996108,49.196,s
37,99236,41,0.40860,99216,0.9995666,48.214,s
